,adj_close,return,india_vix,1Y,3Y,5Y,10Y,net_laf,net_laf_ma30,net_laf_sd30,liquidity_z_30d,rv_30d,rv_30d_ann,vix_30d,vix_pct,vix_ann_est,rv_30d_ann_filled,vix_minus_rv,yield_slope_10y_1y,yield_curvature,yield_5y_3y,vol_liq_interaction,high_vol_flag,liquidity_stress_flag,rv_90d,rv_90d_ann,vol_cluster_ratio,pred_2,pred_3,pred_4,regime_ensemble,regime_hmm_2,regime_hmm_3,regime_hmm_4
2015-04-27,8213.799805,-0.011011,18.740000,,,,,16139.000000,1825.666700,43726.276400,0.327300,0.009641,0.153054,15.225926,18.740000,0.187400,0.153054,0.034346,,,,0.050095,0,0,0.010002,0.158777,0.963952,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-28,8285.599609,0.008741,17.410000,,,,,26072.000000,1675.466700,43631.743200,0.559100,0.009560,0.151761,15.310370,17.410000,0.174100,0.151761,0.022339,,,,0.084850,0,0,0.009988,0.158559,0.957125,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-29,8239.750000,-0.005534,17.240000,,,,,13860.000000,1926.333300,43681.059700,0.273200,0.009575,0.152005,15.374444,17.240000,0.172400,0.152005,0.020395,,,,0.041528,0,0,0.009941,0.157806,0.963241,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000
2015-04-30,8181.500000,-0.007069,17.230000,,,,,52082.000000,3658.266700,44626.947600,1.085100,0.009597,0.152352,15.449630,17.230000,0.172300,0.152352,0.019948,,,,0.165317,0,1,0.009906,0.157257,0.968813,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-05-04,8331.950195,0.018389,17.309999,,,,,52082.000000,6018.600000,45682.289600,1.008300,0.010535,0.167233,15.612308,17.309999,0.173100,0.167233,0.005867,,,,0.168621,1,1,0.010066,0.159798,1.046531,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-05-05,8324.799805,-0.000858,17.360001,,,,,5701.000000,6367.000000,45637.156300,-0.014600,0.010535,0.167234,15.754231,17.360001,0.173600,0.167234,0.006366,,,,-0.002442,1,0,0.010002,0.158777,1.053263,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-05-06,8097.000000,-0.027364,19.670000,,,,,-9076.000000,7048.800000,45233.378400,-0.356500,0.011784,0.187059,16.005385,19.670000,0.196700,0.187059,0.009641,,,,-0.066687,1,0,0.010397,0.165045,1.133386,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-05-07,8057.299805,-0.004903,19.650000,,,,,12655.000000,8437.000000,44725.386800,0.094300,0.011040,0.175254,16.178077,19.650000,0.196500,0.175254,0.021246,,,,0.016526,1,0,0.010344,0.164202,1.067306,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-05-08,8191.500000,0.016656,19.110001,,,,,45007.000000,10338.333300,45036.513300,0.769800,0.011612,0.184327,16.355385,19.110001,0.191100,0.184327,0.006773,,,,0.141895,1,0,0.010452,0.165919,1.110948,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-05-11,8325.250000,0.016328,18.629999,,,,,30796.000000,10945.833300,45190.324800,0.439300,0.011498,0.182521,16.523461,18.629999,0.186300,0.182521,0.003779,,,,0.080181,1,0,0.010609,0.168407,1.083807,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
